code,description,season_start,season_end,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,metered,restrict_typ,permit_no
PS3013,Stat. 60 min 9h - 21h LUN À VEN (fl. dou.) EXCEPTÉ PERMIS ZONE 23 (vert),,,60,9,21,12,1,1,1,1,1,,,,,,permit,23
PS7300,Panonceau EXCEPTÉ VÉHICULES MUNIS D'UN PERMIS DE STATIONNEMENT ZONE A3-3 (vert),,,,,,,,,,,,,,1,,,permit,A3-3
PS1423,"Stat. 60 min 9h30 - 12h, 13h30 - 16h LUN À VEN (fl. dou.)",,,60,9.5,12,2.5,1,1,1,1,1,,,,,,,
PS1423,"Stat. 60 min 9h30 - 12h, 13h30 - 16h LUN À VEN (fl. dou.)",,,60,13.5,16,2.5,1,1,1,1,1,,,,,,,
PP1091,"Stat. int. 9h - 11h, 14h - 16h LUN À VEN (fl. ga.)",,,,9,11,2,1,1,1,1,1,,,,,,,
PP1091,"Stat. int. 9h - 11h, 14h - 16h LUN À VEN (fl. ga.)",,,,14,16,2,1,1,1,1,1,,,,,,,
PA2081,Arrêt int. 7h - 16h LUN À VEN PÉRIODE SCOLAIRE EXCEPTÉ BUS (fl. ga.),,,,7,16,9,,,,,,,,,school,,bus,
PS2673,Stat. 90 min 9h - 17h LUN À VEN (fl. dou.) EXCEPTÉ PERMIS ZONE 3 (vert),,,90,9,17,8,1,1,1,1,1,,,,,,permit,3
PS2226,Stat. 15 min 8h - 16h LUN À VEN PÉRIODE SCOLAIRE (fl. dou.),,,15,8,16,8,1,1,1,1,1,,,,school,,,
PS3113,"Stat. 60 min 9h - 12h, 13h30 - 17h LUN À VEN (fl. dou.) EXCEPTÉ PERMIS ZONE A3-3",,,60,9,12,3,1,1,1,1,1,,,,,,permit,A3-3
PS3113,"Stat. 60 min 9h - 12h, 13h30 - 17h LUN À VEN (fl. dou.) EXCEPTÉ PERMIS ZONE A3-3",,,60,13.5,17,3.5,1,1,1,1,1,,,,,,permit,A3-3
PS3017,Stat. 120 min 8h - 18h MAR-JEU EXCEPTÉ VÉH. ZONE A3-2 (fl. ga.) (orange),,,120,8,18,10,,1,,1,,,,,,,permit,A3-2
PP2272,Stat. int. 1 mai au 15 oct (fl. droite),05-01,10-15,,,,,,,,,,,,1,,,,
PS2451,"Stat. 30 min 9h - 12h, 13h30 - 17h LUN À VEN (fl. ga.) EXCEPTÉ PREMIS ZONE 6  (gris)",,,30,9,12,3,1,1,1,1,1,,,,,,permit,6
PS2451,"Stat. 30 min 9h - 12h, 13h30 - 17h LUN À VEN (fl. ga.) EXCEPTÉ PREMIS ZONE 6  (gris)",,,30,13.5,17,3.5,1,1,1,1,1,,,,,,permit,6
PS2634,Stat. 90 min LUN À VEN (fl. ga.),,,90,,,,1,1,1,1,1,,,,,,,
PA1220,"Arrêt int. 7h - 9h, 15h - 17h30  (autoc.sur parcomètre)",,,,7,9,2,,,,,,,,1,,,,
PA1220,"Arrêt int. 7h - 9h, 15h - 17h30  (autoc.sur parcomètre)",,,,15,17.5,2.5,,,,,,,,1,,,,
PP1582,Stat. int. EXCEPTÉ VÉHICULES OFFICIELS (fl. dr.),,,,,,,,,,,,,,1,,,authorized,
PP1104,Stat. int. 8h - 18h MAR-JEU (fl. ga.),,,,8,18,10,,1,,1,,,,,,,,
PS2635,Stat. 90 min LUN À VEN (fl. dr.),,,90,,,,1,1,1,1,1,,,,,,,
PS1471,5 Min 7h-16h Lun-Ven Zone Scolaire (Gauche) / Stationnement permis.,,,5,7,16,9,1,1,1,1,1,,,,school,,,
PS1467,Stat. 10 min 9h - 18h LUN À VEN (fl. ga.),,,10,9,18,9,1,1,1,1,1,,,,,,,
PD1501,Stat. int. DÉBARCADÈRE 9h - 15h LUN À VEN (fl. ga.),,,,9,15,6,1,1,1,1,1,,,,,,dropoff,
PP1004,Stat. int. 1er NOV AU 1er AVRIL (fl. ga.),11-01,04-01,,,,,,,,,,,,1,,,,
PP2861,Stat. int. EXCEPTÉ VOITURIERS 17h30 - 3h (fl. ga.),,,,17.5,,9.5,,,,,,,,1,,,valet,
PP1839,Stat. int. 7h - 22h LUN À VEN (fl. dou.),,,,7,22,15,1,1,1,1,1,,,,,,,
PP1851,Stat. int. EXCEPTÉ BUS (fl. ga.),,,,,,,,,,,,,,1,,,bus,
PP2216,"Stat. int. 8h30 - 9h30, 13h - 15h LUN À VEN (fl. dou.)",,,,8.5,9.5,1,1,1,1,1,1,,,,,,,
PP2216,"Stat. int. 8h30 - 9h30, 13h - 15h LUN À VEN (fl. dou.)",,,,13,15,2,1,1,1,1,1,,,,,,,
PP1405,Stat. Int. 15 nov au 31 mars (fl. droite),11-15,03-31,,,,,,,,,,,,1,,,,
PA7113,Arrêt Int. ARRÊT D'AUTOBUS 15h - 22h LUN À VEN (fl. dou.) RTC,,,,15,22,7,1,1,1,1,1,,,,,,bus,
PP1736,Stat. int. excepté pour personnes atteintes de déficience physique 30 min (fl. dr.),,,30,,,,,,,,,,,,,,handicap,
PS2441,Stat. 20 min (fl. ga.),,,20,,,,,,,,,,,1,,,,
PS3063,Stat. 120 min 8h - 18h MAR-JEU (fl. dou.),,,120,8,18,10,,1,,1,,,,,,,,
PS2144,Stat. 15 min 7h - 17h LUN À VEN (fl. ga.),,,15,7,17,10,1,1,1,1,1,,,,,,,
PP1325,Stat. int. 8h - 17h LUN À VEN (fl. dr.),,,,8,17,9,1,1,1,1,1,,,,,,,
PP2502,Stat. int. 7h - 9h LUN À VEN (fl. dr.),,,,7,9,2,1,1,1,1,1,,,,,,,
PP1133,Stat. int. 8h - 9h LUN À VEN (fl. dou.),,,,8,9,1,1,1,1,1,1,,,,,,,
PP2653,Stat. int. (fl. dou.) EXCEPTÉ PERMIS ZONE 12 (orange),,,,,,,,,,,,,,1,,,permit,12
PP1080,Stat. int. EXCEPTÉ véhicules d'urgence (recto / verso),,,,,,,,,,,,,,1,,,emergency,
PP1071,"Stat. int. 10h - 10h30, 14h30 - 15h LUN À VEN (fl. ga.)",,,,10,10.5,0.5,1,1,1,1,1,,,,,,,
PP1071,"Stat. int. 10h - 10h30, 14h30 - 15h LUN À VEN (fl. ga.)",,,,14.5,15,0.5,1,1,1,1,1,,,,,,,
PS2561,Stat. 60 min 9h - 17h LUN À VEN (fl. ga.) EXCEPTÉ PERMIS ZONE 7 (jaune),,,60,9,17,8,1,1,1,1,1,,,,,,permit,7
PD1506,Stat. int. DÉBARCADÈRE 6h - 17h LUN À VEN (fl. dou.),,,,6,17,11,1,1,1,1,1,,,,,,dropoff,
PP1366,Stat. int. 23h - 6h 1er DÉC AU 1er AVRIL (fl.dou.),12-01,04-01,,23,,7,,,,,,,,1,,,,
PS1712,Régl. fédérale STATIONNEMENT 60 min PARKING 8h - 16h LUN À VEN / MON TO FRI (fl. dr.),,,60,8,16,8,1,1,1,1,1,,,,,,,
PD1085,Stat. int. DÉBARCADÈRE 7h30 - 16h30 LUN À VEN (fl. dr.),,,,7.5,16.5,9,1,1,1,1,1,,,,,,dropoff,
PS2534,Stat. 90 min 8h - 18h (fl. ga.),,,90,8,18,10,,,,,,,,1,,,,
PA2083,Arrêt int. 7h - 16h LUN À VEN PÉRIODE SCOLAIRE EXCEPTÉ BUS (fl. dou.),,,,7,16,9,1,1,1,1,1,,,,school,,bus,
PS2626,Stat. 60 min 8h - 18h LUN-MER-VEN-DIM (fl. dou.),,,60,8,18,10,1,,1,,1,,1,,,,,
PA7292,Arrêt int. EXCEPTÉ TAXIS (fl. dr.),,,,,,,,,,,,,,1,,,taxi,
PP1031,Stat. int. 8h - 20h MAR-JEU-SAM (fl. ga.),,,,8,20,12,,1,,1,,1,,,,,,
PP1103,Stat. int. 8h - 16h MAR-JEU (fl. dou.),,,,8,16,8,,1,,1,,,,,,,,
PP1449,Stat. int. 8h - 16h MAR-JEU 15 NOV AU 31 MARS (fl. dou.),11-15,03-31,,8,16,8,,1,,1,,,,,,,,
PP2223,Stat. int. 7h - 17h MAR-JEU (fl. dou.),,,,7,17,10,,1,,1,,,,,,,,
PS7503,Panonceau EXCEPTÉ VÉHICULES MUNIS D'UN PERMIS DE STATIONNEMENT ZONE A3-32 (mauve),,,,,,,,,,,,,,1,,,permit,A3-32
PS2771,Stat. 60 min 9h - 21h (fl. ga.) LUN À VEN EXCEPTÉ PERMIS ZONE 12 (orange),,,60,9,21,12,1,1,1,1,1,,,,,,permit,12
PA7192,Arrêt int. ARRÊT D'AUTOBUS 9h - 17h (fl. dr.) RTC,,,,9,17,8,,,,,,,,1,,,bus,
PP1216,Stat. int. 8h - 16h LUN À VEN 1er DÉC AU 1er AVRIL (fl. dou.),12-01,04-01,,8,16,8,1,1,1,1,1,,,,,,,
PP2711,"Stat. int. 7h - 9h, 16h - 18h LUN À VEN (fl. ga.)",,,,7,9,2,1,1,1,1,1,,,,,,,
PP2711,"Stat. int. 7h - 9h, 16h - 18h LUN À VEN (fl. ga.)",,,,16,18,2,1,1,1,1,1,,,,,,,
PS3167,Stat. 120 min 8h - 20h LUN À SAM (fl. ga.),,,120,8,20,12,1,1,1,1,1,1,,,,,,
PS1887,Stat. 90 min 8h - 16h LUN À VEN (fl. ga.),,,90,8,16,8,1,1,1,1,1,,,,,,,
PS3066,Stat. 20 min 7h30 - 16h LUN À VEN PÉRIODE SCOLAIRE (fl. dou.),,,20,7.5,16,8.5,1,1,1,1,1,,,,school,,,
PP1804,Stat. int. BUS (fl. ga.),,,,,,,,,,,,,,1,,,bus,
PS1313,Stat. 60 min 9h - 17h LUN À VEN (fl. dou.) EXCEPTÉ PERMIS ZONE 2  (orange),,,60,9,17,8,1,1,1,1,1,,,,,,permit,2
PP1292,Stat. int. 16h  -17h LUN À VEN (fl. dr.),,,,16,17,1,1,1,1,1,1,,,,,,,
PS1642,Stat. 60 min (fl. dr.),,,60,,,,,,,,,,,1,,,,
PS3162,Stat. 120 min 8h - 18h LUN À VEN (fl. dr.),,,120,8,18,10,1,1,1,1,1,,,,,,,
PP3509,Stat. int. 8h - 20h MAR-JEU-SAM 15 NOV AU 31 MARS (fl. dou.),11-15,03-31,,8,20,12,,1,,1,,1,,,,,,
PP1202,Stat. int. 8h - 20h MAR-JEU-SAM 1er DÉC AU 1er AVRIL (fl. dr.),12-01,04-01,,8,20,12,,1,,1,,1,,,,,,
PS2823,Stat. 120 min 8h - 20h MAR-JEU-SAM (fl. dou.),,,120,8,20,12,,1,,1,,1,,,,,,
PP2757,Stat. int. 21h - 5h EXCEPTÉ VÉHICULES DE POLICE (fl. ga.),,,,21,,8,,,,,,,,1,,,police,
PS1112,Stat. 120 min (fl. dr.),,,120,,,,,,,,,,,1,,,,
PS1633,Stat. 60 min 9h - 17h LUN À VEN (fl. dou.) EXCEPTÉ PERMIS ZONE 3 (vert),,,60,9,17,8,1,1,1,1,1,,,,,,permit,3
PP1153,Stat. int. EXCEPTÉ VÉHICULES DE SECOURS (fl. dou.),,,,,,,,,,,,,,1,,,emergency,
PS2727,Stat. 60 min 8h - 18h MAR-JEU (fl. ga.),,,60,8,18,10,,1,,1,,,,,,,,
PP3106,Stat. int. 23h - 6h 15 NOV AU 31 MARS (fl. dou.),11-15,03-31,,23,,7,,,,,,,,,,,,
PP1242,Stat. int. EXCEPTÉ VÉHICULES IMMATRICULÉS CC - CD OU AVEC VIGNETTES REMORQUAGE (fl. dr.) (Cons. des États-Unis),,,,,,,,,,,,,,1,,,consulate,
PS1462,Stat. 10 min 7h - 9h LUN À VEN PÉRIODE SCOLAIRE (fl. dr.),,,10,7,9,2,1,1,1,1,1,,,,school,,,
PA1201,Arrêt int. 15h - 17h30 LUN À VEN (fl. ga.),,,,15,17.5,2.5,1,1,1,1,1,,,,,,,
PP1811,"Stat. int. 10h - 10h30, 14h - 14h30 LUN À VEN (fl. ga.)",,,,10,10.5,0.5,1,1,1,1,1,,,,,,,
PP1811,"Stat. int. 10h - 10h30, 14h - 14h30 LUN À VEN (fl. ga.)",,,,14,14.5,0.5,1,1,1,1,1,,,,,,,
PP3304,Stat. int. 8h - 18h MAR-JEU 15 NOV AU 31 MARS (fl. ga.),11-15,03-31,,8,18,10,,1,,1,,,,,,,,
PP1400,Stat. int. remorquage à vos frais,,,,,,,,,,,,,,1,,,,
PP2527,Stat. int. EXCEPTÉ VÉHICULES DU CONSEIL EXÉCUTIF (fl. ga.),,,,,,,,,,,,,,1,,,authorized,
PP1163,Stat. int. EN AUTRE TEMPS (fl. dou.),,,,,,,,,,,,,,1,,,,
PS2162,Stat. 20 min 8h - 22h (fl. dr.),,,20,8,22,14,,,,,,,,1,,,,
PS2151,Stat. 60 min 9h - 17h LUN À VEN (fl. ga.) EXCEPTÉ PERMIS ZONE 12 (orange),,,60,9,17,8,1,1,1,1,1,,,,,,permit,12
PD1567,Stat. int. DÉBARCADÈRE 7h - 9h LUN À VEN (fl. ga.),,,,7,9,2,1,1,1,1,1,,,,,,dropoff,
PS2552,Stat. 10 min 7h - 18h LUN À VEN (fl. dr.),,,10,7,18,11,1,1,1,1,1,,,,,,,
PP1840,Stat. int. CÔTÉ GAUCHE stat. 10 min CÔTÉ DROIT (recto / verso),,,,,,0,,,,,,,,,,,,
